ess_cluster;ess_common;ess_short;ess_order;remark
Bio-production;Agricultural production;agri produce;1;
Bio-production;Water extraction for agriculture;agri water;2;
Bio-production;Bio-based materials;bio materials;3;
Bio-production;Food & feed production;bio-production;4;
Bio-production;Wood & fibre production;bio-production;4;
Bio-production;Bio-production;bio-production;4;
Bio-production;Home gardening & hobby animals;gardening;5;
Bio-production;Renewable energy;green energy;6;
Bio-production;Regional products;regio produce;7;
Bio-production;Regulation of soil fertility;soil fertility;8;
Habitat & Biodiversity;Biodiversity & habitat;biodiversity;9;
Habitat & Biodiversity;Iconic species;iconic species;10;
Habitat & Biodiversity;Pest and disease control for agriculture;pest control;11;
Habitat & Biodiversity;Pollination;pollination;12;
Climate service;Macro-Climate regulation;macro climate;13;
Cultural, social & aesthetic values;Aesthetic value;aesthetics;14;
Cultural, social & aesthetic values;Cultural & regional identity;culture;15;
Cultural, social & aesthetic values;Education, knowledge & nature observation;education;16;
Cultural, social & aesthetic values;Creative activities & inspiration;inspiration;17;
Cultural, social & aesthetic values;Space for social cohesion;social cohesion;18;
Cultural, social & aesthetic values;Nature & spiritual experience and therapeutic effect;spiritual;19;
Quality of living;Regulation of air quality;air quality;20;
Quality of living;Drinking water;drinking;21;
Quality of living;Micro-Climate regulation;micro climate;22;
Quality of living;Mediation of noise and visual pollution;pollution;23;
Quality of living;Quality of living/working environment;quality of living;24;
Recreation & Tourism;Dynamic recreation;dynamic r&r;25;
Recreation & Tourism;Motorised recreation;motorised r&r;26;
Recreation & Tourism;Space for play & rest;play;27;
Recreation & Tourism;Soft recreation;soft r&r;28;
Recreation & Tourism;Tourism;tourism;29;
Water cycle related services;Regulation of hydrological cycle and protection against drought;drought;30;
Water cycle related services;Regulation of erosion risk;erosion;31;
Water cycle related services;Protection against flooding risk;flooding;32;
Water cycle related services;Regulation of water quality;water quality;33;
Wild food harvest;Fishery;fishery;34;
Wild food harvest;Hunting;hunting;35;
Wild food harvest;Wild food picking and medicinal plants;plant gathering;36;
